Source,Year,Mean
GCAG,2016,0.9363
GCAG,2015,0.8998
GCAG,2014,0.7408
GCAG,2013,0.6679
GCAG,2012,0.624
GCAG,2011,0.5788
GCAG,2010,0.7014
GCAG,2009,0.6367
GCAG,2008,0.5419
GCAG,2007,0.61
GCAG,2006,0.6125
GCAG,2005,0.6585
GCAG,2004,0.5783
GCAG,2003,0.6134
GCAG,2002,0.6023
GCAG,2001,0.5473
GCAG,2000,0.4262
GCAG,1999,0.4438
GCAG,1998,0.6344
GCAG,1997,0.5187
GCAG,1996,0.3228
GCAG,1995,0.4577
GCAG,1994,0.3409
GCAG,1993,0.2853
GCAG,1992,0.2571
GCAG,1991,0.4055
GCAG,1990,0.4328
GCAG,1989,0.297
GCAG,1988,0.3757
GCAG,1987,0.3696
GCAG,1986,0.2296
GCAG,1985,0.1342
GCAG,1984,0.149
GCAG,1983,0.3411
GCAG,1982,0.1815
GCAG,1981,0.2999
GCAG,1980,0.2637
GCAG,1979,0.2273
GCAG,1978,0.1123
GCAG,1977,0.1978
GCAG,1976,-0.0792
GCAG,1975,0.0034
GCAG,1974,-0.0719
GCAG,1973,0.1641
GCAG,1972,0.0264
GCAG,1971,-0.0783
GCAG,1970,0.0372
GCAG,1969,0.0929
GCAG,1968,-0.0296
GCAG,1967,-0.0131
GCAG,1966,-0.0227
GCAG,1965,-0.078
GCAG,1964,-0.1495
GCAG,1963,0.1068
GCAG,1962,0.0888
GCAG,1961,0.0775
GCAG,1960,0.0204
GCAG,1959,0.0596
GCAG,1958,0.1095
GCAG,1957,0.0488
GCAG,1956,-0.199
GCAG,1955,-0.1354
GCAG,1954,-0.1165
GCAG,1953,0.0952
GCAG,1952,0.0248
GCAG,1951,-0.0132
GCAG,1950,-0.1616
GCAG,1949,-0.0568
GCAG,1948,-0.0487
GCAG,1947,-0.0477
GCAG,1946,-0.004
GCAG,1945,0.171
GCAG,1944,0.2928
GCAG,1943,0.157
GCAG,1942,0.1538
GCAG,1941,0.196
GCAG,1940,0.0947
GCAG,1939,-0.0139
GCAG,1938,-0.0288
GCAG,1937,-0.0157
GCAG,1936,-0.1134
GCAG,1935,-0.1392
GCAG,1934,-0.1015
GCAG,1933,-0.2439
GCAG,1932,-0.1168
GCAG,1931,-0.0686
GCAG,1930,-0.1003
GCAG,1929,-0.2985
GCAG,1928,-0.1774
GCAG,1927,-0.1546
GCAG,1926,-0.0667
GCAG,1925,-0.1481
GCAG,1924,-0.2486
GCAG,1923,-0.2156
GCAG,1922,-0.2304
GCAG,1921,-0.1485
GCAG,1920,-0.2105
GCAG,1919,-0.2055
GCAG,1918,-0.2084
GCAG,1917,-0.3146
GCAG,1916,-0.293
GCAG,1915,-0.0693
GCAG,1914,-0.1395
GCAG,1913,-0.3162
GCAG,1912,-0.3288
GCAG,1911,-0.4332
