Source,Date,Mean
GCAG,2016-12,0.7895
GCAG,2016-11,0.7504
GCAG,2016-10,0.7292
GCAG,2016-09,0.8767
GCAG,2016-08,0.8998
GCAG,2016-07,0.8687
GCAG,2016-06,0.9006
GCAG,2016-05,0.8738
GCAG,2016-04,1.0733
GCAG,2016-03,1.2245
GCAG,2016-02,1.1921
GCAG,2016-01,1.0569
GCAG,2015-12,1.1219
GCAG,2015-11,0.9655
GCAG,2015-10,0.9913
GCAG,2015-09,0.926
GCAG,2015-08,0.8746
GCAG,2015-07,0.8072
GCAG,2015-06,0.8835
GCAG,2015-05,0.8584
GCAG,2015-04,0.7741
GCAG,2015-03,0.8969
GCAG,2015-02,0.8843
GCAG,2015-01,0.8141
GCAG,2014-12,0.8308
GCAG,2014-11,0.6895
GCAG,2014-10,0.7851
GCAG,2014-09,0.7872
GCAG,2014-08,0.7986
GCAG,2014-07,0.6988
GCAG,2014-06,0.7623
GCAG,2014-05,0.7938
GCAG,2014-04,0.8006
GCAG,2014-03,0.7695
GCAG,2014-02,0.48
GCAG,2014-01,0.6936
GCAG,2013-12,0.6981
GCAG,2013-11,0.8293
GCAG,2013-10,0.6787
GCAG,2013-09,0.6857
GCAG,2013-08,0.6605
GCAG,2013-07,0.6662
GCAG,2013-06,0.6838
GCAG,2013-05,0.7141
GCAG,2013-04,0.561
GCAG,2013-03,0.6139
GCAG,2013-02,0.6357
GCAG,2013-01,0.5873
GCAG,2012-12,0.4655
GCAG,2012-11,0.7087
GCAG,2012-10,0.7022
GCAG,2012-09,0.7266
GCAG,2012-08,0.6694
GCAG,2012-07,0.6884
GCAG,2012-06,0.7039
GCAG,2012-05,0.7221
GCAG,2012-04,0.7335
GCAG,2012-03,0.5218
GCAG,2012-02,0.4235
GCAG,2012-01,0.4228
GCAG,2011-12,0.5485
GCAG,2011-11,0.4857
GCAG,2011-10,0.6349
GCAG,2011-09,0.5998
GCAG,2011-08,0.616
GCAG,2011-07,0.6282
GCAG,2011-06,0.6465
GCAG,2011-05,0.5741
GCAG,2011-04,0.6522
GCAG,2011-03,0.5915
GCAG,2011-02,0.4976
GCAG,2011-01,0.4706
GCAG,2010-12,0.4894
GCAG,2010-11,0.7682
GCAG,2010-10,0.6268
GCAG,2010-09,0.5724
GCAG,2010-08,0.6595
GCAG,2010-07,0.7287
GCAG,2010-06,0.7339
GCAG,2010-05,0.7582
GCAG,2010-04,0.8287
GCAG,2010-03,0.847
GCAG,2010-02,0.708
GCAG,2010-01,0.6958
GCAG,2009-12,0.6176
GCAG,2009-11,0.6716
GCAG,2009-10,0.6418
GCAG,2009-09,0.7083
GCAG,2009-08,0.6998
GCAG,2009-07,0.6439
GCAG,2009-06,0.6741
GCAG,2009-05,0.5868
GCAG,2009-04,0.6539
GCAG,2009-03,0.5794
GCAG,2009-02,0.5679
GCAG,2009-01,0.5955
GCAG,2008-12,0.5635
GCAG,2008-11,0.6703
GCAG,2008-10,0.669
GCAG,2008-09,0.5318
GCAG,2008-08,0.5594
GCAG,2008-07,0.5796
GCAG,2008-06,0.5314
GCAG,2008-05,0.5011
GCAG,2008-04,0.4827
GCAG,2008-03,0.7625
GCAG,2008-02,0.3774
GCAG,2008-01,0.2746
GCAG,2007-12,0.4872
GCAG,2007-11,0.5172
GCAG,2007-10,0.567
GCAG,2007-09,0.5775
GCAG,2007-08,0.5509
GCAG,2007-07,0.5286
GCAG,2007-06,0.5374
GCAG,2007-05,0.609
GCAG,2007-04,0.7336
GCAG,2007-03,0.6668
GCAG,2007-02,0.6609
GCAG,2007-01,0.8839
GCAG,2006-12,0.7692
GCAG,2006-11,0.6449
GCAG,2006-10,0.6774
GCAG,2006-09,0.6337
GCAG,2006-08,0.6231
GCAG,2006-07,0.6218
GCAG,2006-06,0.6399
GCAG,2006-05,0.5499
GCAG,2006-04,0.5177
GCAG,2006-03,0.5931
GCAG,2006-02,0.6221
GCAG,2006-01,0.4567
GCAG,2005-12,0.6235
GCAG,2005-11,0.728
GCAG,2005-10,0.693
GCAG,2005-09,0.6867
GCAG,2005-08,0.6247
GCAG,2005-07,0.6572
GCAG,2005-06,0.6722
GCAG,2005-05,0.6573
GCAG,2005-04,0.7314
GCAG,2005-03,0.6918
GCAG,2005-02,0.5143
GCAG,2005-01,0.6223
GCAG,2004-12,0.5081
GCAG,2004-11,0.7601
GCAG,2004-10,0.6177
GCAG,2004-09,0.5331
GCAG,2004-08,0.5141
GCAG,2004-07,0.4806
GCAG,2004-06,0.4707
GCAG,2004-05,0.4442
GCAG,2004-04,0.594
GCAG,2004-03,0.6964
GCAG,2004-02,0.7232
GCAG,2004-01,0.5979
GCAG,2003-12,0.7361
GCAG,2003-11,0.5784
GCAG,2003-10,0.7271
GCAG,2003-09,0.6412
GCAG,2003-08,0.6202
GCAG,2003-07,0.5408
GCAG,2003-06,0.5381
GCAG,2003-05,0.5954
GCAG,2003-04,0.5601
GCAG,2003-03,0.5702
GCAG,2003-02,0.5626
GCAG,2003-01,0.6907
GCAG,2002-12,0.4366
GCAG,2002-11,0.5918
GCAG,2002-10,0.4773
GCAG,2002-09,0.5661
GCAG,2002-08,0.5359
GCAG,2002-07,0.6229
GCAG,2002-06,0.589
GCAG,2002-05,0.5656
GCAG,2002-04,0.5725
GCAG,2002-03,0.7887
GCAG,2002-02,0.7846
GCAG,2002-01,0.6962
GCAG,2001-12,0.5128
GCAG,2001-11,0.688
GCAG,2001-10,0.5006
GCAG,2001-09,0.505
GCAG,2001-08,0.6032
GCAG,2001-07,0.5586
GCAG,2001-06,0.5373
GCAG,2001-05,0.5997
GCAG,2001-04,0.5666
GCAG,2001-03,0.6293
GCAG,2001-02,0.3946
GCAG,2001-01,0.472
GCAG,2000-12,0.3192
GCAG,2000-11,0.2557
GCAG,2000-10,0.3027
GCAG,2000-09,0.4384
GCAG,2000-08,0.4557
GCAG,2000-07,0.3919
GCAG,2000-06,0.4076
GCAG,2000-05,0.4657
GCAG,2000-04,0.6311
GCAG,2000-03,0.5561
GCAG,2000-02,0.5439
GCAG,2000-01,0.3467
GCAG,1999-12,0.5779
GCAG,1999-11,0.3688
GCAG,1999-10,0.3773
GCAG,1999-09,0.3976
GCAG,1999-08,0.3695
GCAG,1999-07,0.4029
GCAG,1999-06,0.4203
GCAG,1999-05,0.4086
GCAG,1999-04,0.459
GCAG,1999-03,0.3702
GCAG,1999-02,0.6733
GCAG,1999-01,0.5007
GCAG,1998-12,0.5796
GCAG,1998-11,0.4132
GCAG,1998-10,0.4965
GCAG,1998-09,0.5271
GCAG,1998-08,0.6816
GCAG,1998-07,0.7358
GCAG,1998-06,0.6657
GCAG,1998-05,0.6679
GCAG,1998-04,0.7358
GCAG,1998-03,0.6396
GCAG,1998-02,0.866
GCAG,1998-01,0.6042
GCAG,1997-12,0.6302
GCAG,1997-11,0.5865
GCAG,1997-10,0.6487
GCAG,1997-09,0.625
GCAG,1997-08,0.5491
GCAG,1997-07,0.5101
GCAG,1997-06,0.5308
GCAG,1997-05,0.4235
GCAG,1997-04,0.4551
GCAG,1997-03,0.4617
GCAG,1997-02,0.4288
GCAG,1997-01,0.3746
GCAG,1996-12,0.3893
GCAG,1996-11,0.2816
GCAG,1996-10,0.2276
GCAG,1996-09,0.2696
GCAG,1996-08,0.3206
GCAG,1996-07,0.3238
GCAG,1996-06,0.3547
GCAG,1996-05,0.3908
